0,1,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0,2,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
0,3,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1,0,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1,2,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1,3,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2,0,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2,1,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2,3,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3,0,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3,1,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3,2,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
<<<<<<< HEAD
0,1,0,1,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0,2,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
0,3,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1,0,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1,2,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1,3,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2,0,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2,1,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2,3,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3,0,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3,1,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3,2,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
=======
>>>>>>> 952a3bf1e84e923c5c376c570a5cfce9972e4a2f
